,base_text,tweet_class
0,"Download the @Hollie_Guard app today.

If you're out on your own and don't feel safe, send an alert by shaking your phone or pressing the icon. 

Your location is sent to your emergency contact, who can help you.

Always dial 999 in an emergency.",0
1,"Are you worried about someone you know being forced into marriage? You know it’s not what they want? 

 You can help by calling the @WestMidsPCC forced marriage 24/7 helpline on 0800 953 9777 

 You can also visit @Panahghar &amp; @RoshniBham for support 

@Darla_YouthCntr",0
2,#CaughtOnCamera West Yorkshire Police need your help identifying this person in Bradford in relation to the crime of : Theft From Shop #police,0
3,#CaughtOnCamera West Yorkshire Police need your help identifying this person in Leeds in relation to the crime of : Assault #police,0
4,"Have you locked your car? We’ve recently had reports of cars being stolen overnight – in this video motoring journalist @vb_h gives you some top tips to help keep your car safe. 

More advice can be found in our virtual car park Stealer Street",0
5,"You have a voice, you have a choice. 

 We want to hear from you. Call the West Midlands forced marriage 24/7 helpline on 0800 953 9777 

  You can also visit @Panahghar &amp; @RoshniBham for support 

@Darla_YouthCntr @WestMidsPCC",0
6,"If you believe that you have been injected, or think it has happened previously, please report it to us.",0
7,"Our officers understand the genuine concerns that women have around their safety, particularly when in pubs, clubs and bars.

Instances of spiking by injection are thankfully rare, but here’s everything you need to know.",0
8,#CaughtOnCamera West Yorkshire Police need your help identifying this person in Leeds in relation to the crime of : Serious Offence #police,0
9,#CaughtOnCamera West Yorkshire Police need your help identifying this person in Leeds in relation to the crime of : Theft From Shop #police,0
10,"#Vacancy | We have an exciting opportunity to join Greater Manchester Police as the Head of Legal Services.

Apply here",0
11,"#Vacancy | We are recruiting Call Handlers to work within the Operational Communication Branch. 

 Full Time
 Force Headquarters
 £19,452 to £20,706 + shift allowance &amp; weekend enhancements

Apply here",0
12,"The new #StreetSafe tool allows people to anonymously report locations where they feel or have felt unsafe. 

This will help police identify areas that need improving and make the streets safe for everyone, particularly women and girls.",0
13,"Don't want trick or treaters this Halloween? 

Halloween can leave some people feeling anxious. We are sharing our poster which can displayed in homes if you or someone you know doesn't want trick or treaters this year.",0
14,#CaughtOnCamera West Yorkshire Police need your help identifying this person in Wakefield in relation to the crime of : Theft From Shop #police,0
15,"Moved out for uni and on a date with someone new? 🥂

If something doesn’t feel right and you want to get away from your date, then go to the bar and ask for ‘Angela’ 

Staff at the bar can discreetly help you out of the situation 🫂#AskForAngela",0
16,Officers are becoming increasingly concerned about Thamara and want to make sure she is safe and well. Anyone with information about Thamara's whereabouts should contact police on 0161 856 9169.,0
17,"Moved here for uni? 

 Download the free @Hollie_Guard app to help keep you safe when your out. 

 A simple tap or shake of your phone will alert your emergency contact and give them your location.

  Always call 999 in an emergency",0
18,"Have you been offered some 'easy money' just for allowing someone else to use your bank account? 

If something seems too good to be true, it probably is. 

See our website for more information",0
19,"Back on the school run ! Motoring journalist @vb_h admits that as a Mum herself locking the car is often the last thing on her mind when she gets her kids home. 

Has your fob done its job?",0
20,#CaughtOnCamera West Yorkshire Police need your help identifying this person in Wakefield in relation to the crime of : Theft non specific #police,0
21,"The vehicle was illegal and dangerous, which is why it was crushed.",0
22,"Come join #TeamGMP and choose a career that matters!
Click here to view our latest vacancies, and apply now",0
23,#CaughtOnCamera West Yorkshire Police need your help identifying this person in Calderdale in relation to the crime of : Public Order #police,0
24,"There's still time to complete our social media survey.

We’re taking part in a national survey to help us better understand what you want to see on our Twitter accounts.

It's all anonymous and your responses will help shape our social media.",0
25,"If someone's offered you money or expensive gifts in exchange for putting their money in your bank account, it might seem like a quick win, but there is probably a catch. 

Find out more at:",0
26,"Did you know, you can get the latest update on the status of a previously reported crime, by entering your crime reference number on our Local Crime Tracker",0
27,#CaughtOnCamera West Yorkshire Police need your help identifying this person in Bradford in relation to the crime of : Burglary #police,0
28,"Do you know who's talking to #YourChild online? People may not always be who they say they are. 

You can find out more at:",0
29,#CaughtOnCamera West Yorkshire Police need your help identifying this person in Leeds in relation to the crime of : Burglary #police,0
30,"Going missing? New adult friends? Secretive behaviour?  Skipping school? Do you ""Know The Signs""?",0
31,"Did you know that Clare's Law gives any member of the public the right to ask the Police if their partner or ex-partner poses a risk to them? 

Call us on 101 or submit an online request",0
32,#CaughtOnCamera West Yorkshire Police need your help identifying this person in Leeds in relation to the crime of : Criminal Damage #police,0
33,Having problems at home? No matter what the issue running away isn't the answer. There are people who can help,0
34,"Did you know you can contact our Contact Centre (in a non-emergency) by using our ""101 Live Chat"" system? 

Save time, do it on line.",0
35,"People looking at indecent images of children often think it is a victimless crime as they are not physically abusing the child, but this is not the case",0
36,"Once you sign up to West Yorkshire Community Alert, you can specialise your interest groups and receive crime information tailored to your interests. 

You can find out more at",0
37,"We're looking for enthusiastic people who want to make a real difference to the communities of West Yorkshire to join our Special Constables.

#BeSpecial

Find out more at:",0
38,"Expectation – Designer clothes, expensive jewellery, exciting lifestyle…

Reality – Fear, arrest, up to 14 years in prison

For more information",0
