,base_text,tweet_class
0,"We are expecting high call demand over the New Year’s Eve weekend.

Please only dial 999 in an emergency

Use our online options where possible.

#ClickB4UCall",1
1,"We’re working hard to develop our network of LGBT+ police advisers to support communities - #watch to find out more.
 
Help us understand LGBT+ Londoners’ experiences of policing and crime so we can improve. #Share /take part in this survey until 4/1 -",2
2,"#CaughtOnCamera West Yorkshire Police need your help identifying this person in Leeds, Leeds City in relation to the crime of : Theft From Shop #police",3
3,"#CaughtOnCamera West Yorkshire Police need your help identifying this person in Wakefield, Wakefield Central in relation to the crime of : Assault #police",3
4,"In an emergency please call us. If you are scared that you might be overheard by your abuser, you can use the Silent System. Dial 999, then instead of speaking to the operator, press 55. 

Find out more",1
5,"""West Yorkshire Police, what’s your emergency?"" 

Recruitment for Contact Operators is open now. 

Find out more at:",1
6,"If you’re heading out this winter, have a great time, wrap up warm and look out for each other. 

 Support your community by reporting at  when you see something that makes you think twice.

#CommunitiesDefeatTerrorism",1
7,"Do you need to report a non-urgent matter to the Police?

There's a variety of ways to get in touch with us.

Save time, do it online 

#ClickB4UCall",1
8,"She might have agreed to a drink, but that doesn’t mean she agreed to sex. 

Sex without consent is rape and we take all reports of sexual assault very seriously.

Find out more  #noexcuseforabuse",1
9,"We're looking for enthusiastic people who want to make a real difference to the communities of West Yorkshire, to join our Special Constables.

#BeSpecial",1
10,"A quarter of the people who call us about domestic abuse are men. 

We know it can be hard to make that call. 

While you can always talk to us, our website  gives you a range of charities who can also help.",1
11,"Sex without consent is rape. If she’s too drunk to say yes, she means no.

Find out more  #noexcuseforabuse",1
12,"We are working around the clock to keep you safe this winter, but we couldn’t do it without your support.

If your instincts tell you something’s not right, report it.

No piece of information is too small, and you’ll never be wasting our time.
#CommunitiesDefeatTerrorism",3
13,"#UPDATE | Detectives continue to piece together the events that led to the death of Tyrone Williamson and remain keen to hear from anyone who may have any information.

Footage can be uploaded directly here  or call 0161 856 7382 quoting 2993 of 11/12/2021.",3
14,"If someone is trying to control your behaviour and tell you who you can and can’t see, this is abuse. 

If you need our help, we will always be kind, caring, honest and fair.

There’s a section of our  website that gives specialist LGBT+ help and advice.",1
15,"Men suffer domestic abuse as well as women. 

Our website  lists charities who specifically help men. 

We are always here to help.",1
16,"Thank you, for helping us to save lives by reporting your concerns.

If your instincts tell you something’s not right, report it at 

#CommunitiesDefeatTerrorism",1
17,#CaughtOnCamera West Yorkshire Police need your help identifying this person in Leeds in relation to the crime of : Theft From Shop #police,3
18,"Visiting a Christmas market this year?

 Remember to take in your environment, and stay alert to anything that doesn’t feel right.

 If in doubt, report it to 

It’s quick, easy, and saves lives.

#CommunitiesDefeatTerrorism",1
19,"If she’s making excuses or staying silent then she doesn’t want to have sex with you. 

Sex without consent is rape and we take all reports of sexual assault very seriously.

Find out more",1
20,"If your partner is isolating you, intimidating you or trying to control you in other ways then this is domestic abuse. 

There is loads of help and advice available. 

We will always have your safety and best interests at heart. Together we can end the abuse.",1
21,"Project Servator relies on the police, the public and businesses all working together to disrupt criminal activity.

Throughout the busy Christmas period, @WYP_Servator officers will be out and about providing a reassuring presence for the public.",1
22,"Some of the reasons women &amp; girls say they don’t feel safe on our streets is because they feel they are being followed by men. 

#AllMenCan make a difference by giving women space on the street or public transport. 

Find out more  #noexcuseforabuse",1
23,"Psychological and emotional abuse is not something you have to tolerate. 

There are plenty of people you can turn to for help and advice. 

We are always here to help.",1
24,"FROSTY MORNING WARNING 

 Please do not leave your car unattended while it defrosts. It only takes a few seconds for someone to jump in and drive away. 

 We don't want to make it easy for thieves. Tap below for more car crime prevention advice.

#frostymorningwarning",1
25,"#CaughtOnCamera West Yorkshire Police need your help identifying this person in Leeds, Leeds East in relation to the crime of : Theft From Shop #police",3
26,"#CaughtOnCamera West Yorkshire Police need your help identifying this person in Leeds, Leeds North West in relation to the crime of : Theft From Shop #police",3
27,"Have you ever thought about being a PCSO? We’re recruiting now! 

Click here to find out more:",1
28,"#CaughtOnCamera West Yorkshire Police need your help identifying this person in Wakefield, Wakefield North East in relation to the crime of : Theft From Shop #police",3
29,"We’re recruiting Special Constables. If you’re between 18 and 60 you can apply.

Find out more at:",1
30,"In our recent survey you told us that catcalling, loutish behaviour, men staring at or talking to women on the streets for no reason makes them feel unsafe. 

#AllMenCan make a difference. Be an upstander for women’s safety.

Find out more  #noexcuseforabuse",1
31,"If you’re worried that you sometimes can’t control your emotions and are becoming aggressive or violent towards your parents or carers, there are people you can speak to, to talk through anything that is bothering you",1
32,"You shouldn’t feel threatened and frightened in your relationship. If you do help is available. 

There’s a section on our  website that gives specialist LGBT+ help and advice.

If you need our help, we will always be kind, caring, honest and fair.",1
33,"If you’re heading out this weekend have a great time, wrap up warm and look out for each other. 

It’s important to be aware of . 

Stay alert to people filming security, exits, entrances or CCTV.

Report it online   

#CommunitiesDefeatTerrorism",1
34,"Extremism can pull a family apart.

If you’re concerned about a loved one visit #ACTEarly for support and advice",1
35,"Come join #TeamGMP and choose a career that matters!
Click here to view our latest vacancies, and apply now",1
36,"If she’s making excuses or staying silent then she doesn’t want to have sex with you. 

Sex without consent is rape and we take all reports of sexual assault very seriously.

Find out more  #noexcuseforabuse",1
37,"Our Christmas Tree Appeal is 10! 

Over the past decade, a staggering 116,000 Christmas presents have been bought for children in London who would’ve otherwise gone without. 

We couldn’t have done it without you.",1
38,"#AllMenCan make a difference by being an upstander for women’s safety, not a bystander to intimidation and violence. 

#MakeThePromise to call out bad behaviour in other men. 

Find out more  #noexcuseforabuse",1
