,base_text,tweet_class,pred_class
17650,"Do you fancy a career as a Police Officer? Recruitment is open now. Find out more at:  
@LeedsTrinity",1.0,2.0
19837,Detectives investigating the fatal stabbing of a man in #Haringey have named the victim as 48-year-old Mihai Gae [pic]. A man has been charged with his murder,1.0,3.0
30130,"Looking for varied and exciting career?

Come and join us tomorrow &amp; Saturday at @skillslondon

We will be there ready to answer all your questions &amp; give you a sneak peek into what life is really like on the front line

Start a career like no other... #JoinTheMet #SkillsLondon",1.0,2.0
38497,"Last night, Wednesday 10 April 2019, saw Manchester United take on FC Barcelona at Old Trafford in the first leg of the UEFA Champions League quarter-final.  Take a look at our gallery of images.",2.0,3.0
31041,"Remember this nasty street attack on a man with a walking stick at a bus stop? After we issued the footage, we got their names and today they've been jailed for more than four years each. Thanks for all your shares! 
Full story",3.0,1.0
22317,"Is @WYP_OpJemlock making a difference? Well, compared with last year, knife enabled serious violence down 10% (268 less offences), hospital admissions for injuries with a knife or sharp object down 10%, robberies involving a knife down almost 20% (1/2)",2.0,1.0
9237,"Our Neighbourhood Constable Ryan Day, who works as an engagement and prevention officer with schools, has launched an initiative to give more children in Bristol access to football and rugby boots. 

Find out more about the project and how to get involved:",1.0,2.0
24838,"@hopinmypocket Hi, James. We're already getting lots of people telling us about potential breaches of the restrictions. You can let us know if there are large gatherings, via Live Chat at 
We'd ask you trust that we'll target the most problematic behaviour.",2.0,1.0
32057,"Be a force for all.

 Being a police officer is not just a job, it's a way of life. 

 A rewarding career that you can be proud of. 

 Join our #WMPfamily. #JoinThePolice.

Apply now and start making a difference today",1.0,2.0
23348,@ChrisKurton We continue to urge people to use their common sense when leaving their home and to avoid driving to beauty spots or popular walking locations where they could be at risk of further spreading the virus.,2.0,1.0
33191,"#WATCH @BBCOne's Fugitives tonight at 8pm to see police officers from the UK and Uganda trace a woman who fled the UK after killing her own daughter.

Take a peek at our officers in action as they track down a delivery man responsible for robbery",2.0,3.0
5505,These two #Birmingham officers have been hailed lifesavers...,1.0,3.0
23684,"“Thank you for making us smile”

As a thank you to children across the local area for their pictures of rainbows in their windows, @MPSThamesfield have been busy posting activity packs and a letter of thanks through doors whilst on patrol.

Read more",2.0,1.0
17051,"Specialist Firearms Officers @MPSFirearms raided an address in Islington early this morning. 

This highly skilled team supported detectives to arrest a man wanted on suspicion of murder following a fatal shooting in #Brent in July.

#TeamWork

 |",1.0,3.0
1967,#CHARGED | GMP Officers assisted our colleagues at @DerbysPolice with this incident yesterday! Details below,1.0,3.0
27142,@Martin_E_PFA @ManCity Hi. We are working with Manchester City Football Club to identify any offences and offenders. Thank you.,2.0,1.0
