,base_text,tweet_class
29418,"Agreeing to meet someone for a date doesn’t mean agreeing to sex. No one’s entitled to that. #GetConsent, because sex without it is rape.

Help and advice is available on our website, where you can easily live chat our team.

*Design based on a concept by Police Scotland",1
21991,"#APPEAL | We’re appealing for information after a woman and a teenager were threatened with a samurai sword and a machete during an attempted robbery in #Hawkesley, #Birmingham, in the early hours of yesterday morning. 

More here",3
20628,@WolfTruthTeller Hi. You can follow this link to get advice and to report a crime to us. Thanks.,1
27513,Fantastic! Tell him to bookmark  and he can have a warrant card and badge when he's a bit older,2
23961,"@lukec1627 Hi Luke,

We’re not quite sure what we’re meant to be looking at here? Can you please explain. Thanks.",2
39016,GOOD NEWS: Missing Katherine Mackay from Birmingham has been found safe and well. Thank you for sharing our appeal.,3
17826,"#UPDATE | We've arrested a 17-year-old on suspicion of causing serious injury by dangerous driving after a woman and her pet dog were hit by a car in Doe Bank Lane last month.

The woman survived, but her pet dog Millie sadly died.

Full story",1
24547,"Q: Do you envisage a time when people's movements will be tracked digitally here, like they have been in other countries? #COVIDー19",2
23397,"@TandyCourt Yes, we're going to be announcing the names on Thursday. Stay tuned.",2
18474,Inspector Leanne Chapman @WMPDogs discusses the operational side of the dog unit and introduces PD Arthur  #meetwmpdogs,1
14979,"Half an hour later, a woman in Shirley reported a similar incident, where a man in a smaller dark coloured car, with blue flashing lights on the dashboard pulled her over. The man again claimed to be an officer and questioned her about her speeding.",1
20901,"@WasiqUK Hi Wasim, We can't say for sure, but we believe it may have happened in the West Midlands area, possibly Birmingham.

If it turns out that it's another force we'll pass the investigation over. For now, anyone with info should contact us.",2
37683,"#UPDATE | The family of a man who was found with fatal injuries in #Birmingham on Tuesday (7 May) have paid tribute to him today.

Read more here",2
6511,"#TRIBUTE | A boy fatally stabbed in Birmingham on Monday has been named as Dea-John Reid, as we continue to question six people over his murder.

His family have released a picture and touching tribute to their “incredibly talented young boy”.

More",2
32433,@grang3hill Perhaps @AVFC_WMP can help?,2
15719,@nyrsio_morgan @nyrsio_morgan Hi there. You can find out about joining our specials here.,1
29129,"""Secondly I wish to thank Andrew Griffiths who was my MP for helping me and my family when no-one else would listen. Not a day goes by without me thinking of Lisa and I find myself at times talking to her, this is what kept me going...",2
17925,@NCA_LynneOwens Thank you for sharing our appeal,3
14318,"Crime in the West Midlands fell five per cent over the last year, with big reductions in burglary &amp; theft.

 The figures cover the 12 months ending in June, so include several weeks of lockdown.

 Burglary of homes saw a drop of 23%.

 Full story",1
2492,"If you're enjoying a night out in the West Midlands this weekend, be reassured that we've got officers out to keep you safe.

#HateCrimeAwarenessWeek may be over, but our work to tackle hate never stops.

Help &amp; advice in the thread 

#NoPlaceForHate #SafePlaceForAll",1
26157,"Anyone with information on his whereabouts is asked to contact police via Live Chat at  between 8am and midnight or call 101 anytime, quoting crime reference 20BW/78905H/19. Alternatively, ring Crimestoppers anonymously on 0800 555 111.",3
11172,"Despite engaging with the people, explaining what was expected of them and encouraging them to move on, some did not listen.
We therefore had to enforce the rules and have so far have issued three fixed penalty noticed and made 11 arrests. They have been taken into police custody",2
9040,"Our @CadetsWMP have been lighting up our stations as part of Coventry's Window Wanderland event.

 Using the theme, ‘what being a cadet means to me’, the cadets have created masterpieces to be displayed at the stations as part of the trails.

More",1
5764,"@REGENTmanADB @brumpolice This incident happened in Dublin, and is being investigated by police there. Thank you.",2
23600,@Popbangcolour @CMPG @OFFICIALWMAS Love it!!,2
7457,"#RAMADAN | One of our Muslim officers has spoken of observing #Ramadan while working on the frontline of policing − and how he once broke his fast with a swig of water after chasing down a suspect.

Get the full story",2
25472,"We’ve launched a double murder enquiry after two women were stabbed in #Moseley earlier today (16 March).

A 40-year-old man has been arrested on suspicion of murder.

Full story here",1
3330,"#Charged | A man has been charged following a West Midlands Police manhunt.

Lee Martin aged 41, has been charged with kidnap, false imprisonment, wounding with intent and other offences.

Following a media appeal, Martin was arrested on Tuesday.

More",3
14165,"The family of Nicole have released this statement: “We wish to thank people for their well wishes, Nicole will be greatly missed. We request to be left alone to grieve at this difficult time.”",1
28721,A knifeman who stabbed a teenager following a domestic disagreement has been jailed for seven-and-a-half years after officers proved he was responsible. Mohammed Pasha Uddin stabbed his 17-year-old victim in the back in #Tyseley. Read more,1
35260,"....working with partners in @PHE_WestMids @WestMidsPCC @WestMids_CA to set up a Violence Reduction Unit, building on the great work of the @WestMidlandsVPA to make the region a safer and more prosperous place to live, work, worship, visit, etc.",2
29213,Today Kathleen Salmond and Kevin Flanagan were convicted of murdering Lisa Bennett who went missing in 2013. Listen to the phone call Salmond made to the Department for Work and Pensions pretending to be Lisa:,1
36463,Welcome! Want to get involved in Street Watch where you are? Find out more here:,1
8711,"Like countless others around the country, we paused to remember. #DayOfReflection #minutesilence",2
5031,"Don't forget to vote for PD Wez in the @AutarkyDog Awards. Voting closes at 12pm today 

PD Wez has been nominated for the Hard Working Dog Award. I know we're biased, but we think he's a superstar! 

Vote",2
23816,"@Wavo80900157 Hi Wavo, We have got officers out on patrol. You can report specific issues to us using the online form. We would ask you to trust that we will target the most problematic behaviour.",1
29110,"#GANGS: The number of recorded shootings in #Birmingham has more than halved in the last six months since we expanded our gangs unit. The team has made 161 arrests and seized guns, inc an AK-47 and a Luger pistol, and other weapons. A great success. More:",1
14713,"We’re investigating after a man was injured in a shooting on Far Gosford Street in #Coventry last night.

The 18-year-old was shot at around 11.45pm. He turned up at hospital a short time later, where he’s being treated for an injury to his arm.

More",1
19188,"We hope you have enjoyed following @WMPDogs  and meeting our four legged crime fighters over the last couple of weeks. If you missed it, give the team a follow to learn more about our pawsome dogs. #meetwmpdogs 

Don't forget to vote below for your favourite",2
8849,"If a prisoner is in custody over 24 hours we will try our best to get them a shower.

 We provide wash packs if not #24HoursInCustody",1
