,base_text,tweet_class,pred_class
8559,"Some people may intend to protest in Bristol &amp; Bath 26 to 28 March. 
We're committed to facilitating peaceful protest when it's safe to do so, but gatherings remain a breach of COVID restrictions &amp; risk increasing the spread of coronavirus. 
Statement",2.0,1.0
30753,"A woman in her 80s has lost money in a courier fraud scam in Weston-super-Mare.

Please read our appeal &amp; help your elderly relatives, friends &amp; neighbours follow the crime prevention advice.",1.0,3.0
36794,"After their attacker was jailed earlier this year, two victims of child sexual abuse have very bravely come forward to share their stories, in the hope that it will give other victims the courage to come forward and speak to someone. To read more, visit",1.0,2.0
35561,"If you are a victim yourself, and want to come forward, there is help available to everyone and you can contact @Hopeforjustice, @SaferKirklees or West Yorkshire Police. #WYSafeguardingQandA.",2.0,3.0
41349,"@KRuggers64 @birmingham_live Hi, a public appeal is often a last resort when all other lines of enquiry have been exhausted and in this case one suspect has been identified so proceedings are active.",2.0,1.0
24715,"@imdsm @WayneG2014 @fez95 Hi Adam, Please get in touch with us via Live Chat  or call 101. Thank you.",1.0,3.0
29870,Can you help our colleagues @WestYorksPolice as they investigate crowd trouble at #LUFC vs #BCFC?,3.0,2.0
39532,"If you told one of our operators that you were at 'City.Glory.Allow', we would be able to pinpoint that you are stood outside Wakefield Cathedral. Be prepared and download the #What3Words app today @WYP_Contact",1.0,2.0
11072,".@CollegeofPolice is hosting a virtual careers event for individuals from a Black, Asian and Minority Ethnic (BAME) background on Thursday 21st January. 

Find out more here:",2.0,1.0
2289,"The Met is constantly striving to achieve the recruitment aspirations that have been voiced by the Commissioner. Our Outreach Recruitment Programme covers all boroughs, reaching out to under-represented communities. Find out how to start your career at:",1.0,2.0
22916,"""We never expected to see it again. Thanks guys, you've been amazing.""

A Somerset family thanked police and public for helping us reunite them with a stolen quad bike, found in Bridgwater. Report info about theft online or on 101 giving ref 5220086919.",2.0,3.0
24290,#ThankYouGM | More  from Manchester City Centre this morning. Thank you to those of you staying home and following Government advice. Full government advice:  #StayHomeStaySafe #HereForBusiness,2.0,1.0
26907,@weathagirl Yes Lisa - check out our previous story:,1.0,2.0
36102,"Detectives investigating the murder of missing #Dudley woman Julia Rawson have found a body. The discovery was made in the #Tipton area on Wednesday by specialist officers who have been searching for Julia, 42. More on this here:",1.0,3.0
40973,"If you want to find out more about our history, visit  or contact HeritageCentre@met.police.uk to book your guided tour today #100YearsStrong",2.0,1.0
15874,"Remembering Fiona Bone and Nicola Hughes, 8 years on. #NeverForgotten",2.0,1.0
26768,Latest News :  West Yorkshire Police rated ‘Outstanding’ for efficiency in report out today #police,2.0,1.0
23612,@iducktwice That's one for @StaffsPolice,1.0,2.0
35699,"The Police have to do a transparent and thorough investigation. Data within phones can provide strong evidence to support your report. You will never be forced into handing your phone over, and only data relating to the investigation will be used. 
 #WYSafeguardingQandA",2.0,1.0
34344,"#CHARITYSINGLE | A caring cop is releasing a charity single  to raise money and awareness for Motor Neurone Disease patients…and to support his former West Midlands Police boss who’s been diagnosed with the illness. 
@mndassoc  #MND

Click below",1.0,2.0
5803,@Adamadamant1111 This is not an incident in Birmingham. It shows an incident from Dublin from 15 June. Gardai are investigating.,2.0,1.0
