,base_text,tweet_class,pred_class
29255,"Tackling Child Sexual Exploitation (CSE) is everyone's business. 

DC Tracy Sparrow from the Topaz Child Exploitation Team, explains how hotel and B&amp;B reception staff can spot the signs.",1.0,2.0
21661,"A stop-check of a car in Romania which contained a haul of stolen silverware, war medals &amp; jewellery has resulted in a 23-year-old man being jailed for 3yrs and 10 months in connection with 13 burglaries across Somerset and South Glos. More:",1.0,3.0
36102,"Detectives investigating the murder of missing #Dudley woman Julia Rawson have found a body. The discovery was made in the #Tipton area on Wednesday by specialist officers who have been searching for Julia, 42. More on this here:",1.0,3.0
40264,"Did you know that we also have police staff vacancies? We have a team of 14,000 professional &amp; support staff working behind the scenes to help keep #London safe. Whatever your skills or interests, there could be a role for you.  #NationalCareersWeek",1.0,2.0
37772,"Wow! If you've not seen them before, #traumateddies are given out to youngsters caught up in domestic incidents or ones in need of comfort.",2.0,1.0
42302,@PAULMORGAN999 @aaronlp1We are out with the Tactical Vehicle Intercept Unit tonight so I will ask and see if we can find out for you.  Thnaks,1.0,2.0
23165,"@GuyBradley Hi, Guy. We're always out and about, but can't be everywhere at once. We rely on people reporting significant breaches to us so we can take the right action. Get in touch with us to let us know more about what you saw here.",2.0,1.0
11210,"#NoExcuseForAbuse | This Christmas we saw the highest ever recorded cases of domestic abuse and now, more than ever, we are urging anyone who is not feeling safe in their home to seek help.

More here",1.0,2.0
22916,"""We never expected to see it again. Thanks guys, you've been amazing.""

A Somerset family thanked police and public for helping us reunite them with a stolen quad bike, found in Bridgwater. Report info about theft online or on 101 giving ref 5220086919.",2.0,3.0
24913,"We understand this a difficult time for many people, but the single most important thing you can do is stay at home.

We’re working round the clock to keep people safe and will use enforcement if we need to in order to protect our NHS and save lives.

#StayHomeSaveLives #COVID19",1.0,2.0
12313,#London remains in Tier 2 restrictions. Look out for each other and ensure you are aware of what these restrictions mean for you and your loved ones.,1.0,2.0
21240,"@stumccullagh @stumccullagh We only use a taser when faced with a serious threat. But if you're concerned about mini motorbike riders, this recent article might be of interest to you...",2.0,1.0
28845,@eaglepeaknaod We’re aware of offensive comments being shared on social media which are reportedly from the personal account of a serving West Midlands Police officer and we are investigating the full circumstances.,1.0,2.0
33191,"#WATCH @BBCOne's Fugitives tonight at 8pm to see police officers from the UK and Uganda trace a woman who fled the UK after killing her own daughter.

Take a peek at our officers in action as they track down a delivery man responsible for robbery",2.0,1.0
9591,"Our @MPSontheWater team are ready to dive into action 24/7 and can be submerged in anything from water as cold as two degrees to thick sewage.

Even in limited visibility, their searches for discarded weapons are crucial in the fight against violence.

#TacklingViolenceTogether",2.0,1.0
16190,Tune into @BBCCrimewatch at 9.15am on BBC1 today to see how #Kirklees detectives caught a man responsible for a hammer robbery in 2017.,2.0,3.0
7045,"Help save further families from going through this pain.

Every little bit of information about knife crime helps towards our investigation and could prevent another life lost.

Contact @CrimestoppersUK anonymously. No one will know you have contacted them.",3.0,2.0
22047,"@lgccmc12 Hi Chris, you can talk to someone about this here:",1.0,2.0
19441,"Huge thanks to partners @NCA_UK , @NWROCU, as well as thousands of officers across the UK. Sophisticated organised crime groups thought they were untouchable using a highly sophisticated communication platform called #Encrochat. They were wrong.",2.0,1.0
37301,"Latest News :  Youngsters Showcase Their Skills In Police Football Tournament, Wakefield #police",2.0,1.0
42191,@Vonni1963 @GMPWythenshawe This is usually where a suspect will use a registration plate of another vehicle on their own vehicle. Thank you.,3.0,1.0
32377,"Come and join us at Leeds District Open Day, Elland Road Police Station, Sunday, September 29. Plenty to see and do!",2.0,3.0
1641,We're aware of distressing footage circulating online. Please don’t share this. Think of the family who are going through unimaginable pain. This will only cause them further distress.,1.0,2.0
324,"A jury has concluded an 82-yr-old man sexually and physically abused two boys in the late 1960s and early 1970s in Bristol.

Keith Lancaster, of Lulworth Cove, Dorset, was deemed not fit to stand trial, and a Trial of Facts was held instead.

Full update:",1.0,3.0
38069,A man is in custody after a woman was found dead in #Smallbridge in #Rochdale this morning. Read more here:,1.0,3.0
8637,"@SianAitken @PepzMachine @Complyorcry @Anna_Soubry Where it is possible, we will find suitable roles, away from the public, so that officers being investigated for criminal charges can continue to serve the public in some capacity, rather than be suspended on full pay.",2.0,1.0
8382,"#WATCH | Catch last night's episode of #TheDetectives on BBC Two? Tell us what you made of it!

Episode two's murder investigation was one of 27 that the Major Incident Team investigated in 2018 and the team continue to bring offenders to justice for their crimes.",2.0,1.0
38898,Two men have been arrested following a robbery in Standish.,1.0,3.0
28574,"There are over 400 people missing across Greater Manchester, and we know this time of year can be particularly difficult.

We want to remind people of the support which is out there, and to encourage anyone who may have any information to come forward.",3.0,2.0
32881,"Op Limelight is a joint operation aimed at tackling #HonourBasedAbuse

Last week officers and partner agencies at @bhx_official spoke to hundreds of passengers to raise awareness of #forcedmarriage and #FGM.

Full story here",1.0,2.0
15970,"County Lines drug dealing is happening in London.

If you notice suspicious activity or have information about County Lines drug dealing you can speak to local police on 101 or call 999 in an emergency. 

#KeepLondonSafe",3.0,1.0
8787,"#ARREST (81) | Our latest prisoner, aged 20, was driving a Ford Focus on false plates when he failed to stop for @ResponseWMP officers in #Erdington.

They found cannabis and because he failed to stop, he's been strip-searched to check he'd not hidden anything.

#24HoursInCustody",1.0,3.0
32203,"Three Further Arrests Over Disturbance, Ullswater Crescent, Halton Moor, Leeds. #police",1.0,3.0
12652,"This evening we are issuing an update following yesterday's incident in Avonmouth.

Our thoughts and sympathies go out to the families of those who died in this tragedy.

For more information:",2.0,3.0
16899,"@luludubois40 Hi, we are aware of increasing issues around speeding and levels of traffic and have stepped up our patrols to respond to community concerns.  Please report speeding here  to help inform us where problems are occurring.",1.0,2.0
29722,"@Rabberoonies Hello, How can we help you today?",2.0,1.0
14412,"A man has been charged following the death of a man in Salford. Shortly after 9pm on 26 September, we were called to reports of an assault. It's believed two men were involved in an altercation which resulted in one of the men being fatally injured. More:",1.0,3.0
19348,We saw people taking great personal responsibility for their actions and behaviour and the evening ran smoothly with only a handful of incidents at pubs and bars reported to us.,1.0,2.0
36431,"#MURDER: This is Damian Howl. He was found with fatal head injuries in an alleyway in West Bromwich earlier this week. We've now charged Marcus Parchment, aged 42 from Heath Lane, with his murder. He's due up in court today. More:",1.0,3.0
6293,"@SCUKofficial @MuslimCouncil #UPDATE | We've arrested two teenagers tonight (Monday) following reports of a racial attack on a family at a park on Park Road West #Wolverhampton on Saturday evening.

For more information please see",1.0,3.0
25760,"Detecting fingerprints can be a tricky task. They are often not visible to the naked eye and it takes a true expert to locate and examine them. 

Are you up to the task? We are recruiting for roles in forensics  

Start your Met career today! #NCW2020",1.0,2.0
8318,"#EASTER | Wishing everyone a #HappyEaster weekend.

Hope you have a safe and enjoyable bank holiday!

If you need us, we're ready to help.

You can get advice and report some crimes on our website, while live chat is often quicker than ringing us.",2.0,1.0
40631,@CranfordPD Thank you,2.0,1.0
34238,"""I was in a trailer, no windows in it, no doors, and every time it rained I got wet."" 

Modern Slavery survivor speaks of 15 years of abuse. 

@MSHelpline #ModernSlavery 



@WestYorksOPCC",2.0,1.0
27593,"372 people were arrested for drink and drug driving offences during GMP’s festive #NonefortheRoad campaign. 

If you suspect anyone is driving under the influence, contact the police on 101 or 999 in an emergency.",3.0,1.0
29634,ROAD CLOSURE tonight from 7pm to 7.30pm Wakefield Road #Bradford please RT,1.0,3.0
5810,@Fksaad82 The offences happened in the early hours of yesterday morning. We're investigating and hope to bring news of arrests soon.,2.0,1.0
34984,Detectives investigating the murder of Kwasi Mensah-Ababio [pic] in Monks Park have charged two men,1.0,3.0
31557,Three men charged following attack on man outside Islington pub,1.0,3.0
26172,"#CONVICTION | A man and a woman have been convicted of the killing of a man whose body was fund in April 2017

Paul Tong, 54. suffered fatal injuries caused by being hit with a dumbbell.",1.0,3.0
23458,@baza451 Hi Baza. Thanks for your tweet. If you wish to make a report you can on our website. Thank you.,2.0,1.0
29870,Can you help our colleagues @WestYorksPolice as they investigate crowd trouble at #LUFC vs #BCFC?,3.0,2.0
1020,"#KnifeCrime | Early intervention is key. It helps us better understand and prevent children from making wrong choices.

We recently spoke to some young people from Dormston School in #Dudley – they agreed to share their thoughts on knife crime.

More",1.0,2.0
10354,"@noodlebug11 Hi there, thanks for your Tweet.  We have passed this onto the relevant team.",2.0,1.0
32212,Latest News :  Bradford Police Officer Honoured By National Diversity Award #police,2.0,1.0
